메뉴,식사시간,날짜,식당,타입
백미밥. 쇠고기무국. 연두부양념장. 배추김치. 돈가스소스. 봄동겉절이,breakfast,2023-11-27,금정회관-학생,1000원의 아침
백미밥. 쇠고기무국. 연두부양념장. 배추김치. 돈가스소스. 봄동겉절이,breakfast,2023-11-27,금정회관-학생,일반
갈릭계란굴소스볶음밥. 치킨스테이크소스. 된장국. 야채샐러드. 배추김치,lunch,2023-11-27,금정회관-학생,일품
비엔나햄볶음. 흑미밥. 돈육김치찜. 어묵국. 숙주나물무침. 배추김치,lunch,2023-11-27,금정회관-학생,일반
제육마라소스덮밥. 물만두국. 요구르트. 배추김치,dinner,2023-11-27,금정회관-학생,일품
순대떡볶음. 백미밥. 참치김치국. 오이무침. 배추김치. 생선가스타르소스,dinner,2023-11-27,금정회관-학생,일반
돈육단호박장조림. 볼어묵조림. 백미밥. 버섯된장국. 청경채겉절이. 배추김치,breakfast,2023-11-28,금정회관-학생,1000원의 아침
돈육단호박장조림. 볼어묵조림. 백미밥. 버섯된장국. 청경채겉절이. 배추김치,breakfast,2023-11-28,금정회관-학생,일반
고구마돈가스. 백미밥. 야채샐러드. 배추김치,lunch,2023-11-28,금정회관-학생,일품
육개장. 탕수견과류강정. 마파두부. 백미밥. 열무겉절이. 배추김치,lunch,2023-11-28,금정회관-학생,일반
수육데리야끼덮밥. 된장국. 배추김치,dinner,2023-11-28,금정회관-학생,일품
닭갈비. 햄구이. 백미밥. 참치야채무침. 북어미역국. 배추김치,dinner,2023-11-28,금정회관-학생,일반
쫄면야채무침. 꽃게탕. 알감자조림. 백미밥. 배추김치. 멘치가스소스,breakfast,2023-11-29,금정회관-학생,1000원의 아침
쫄면야채무침. 꽃게탕. 알감자조림. 백미밥. 배추김치. 멘치가스소스,breakfast,2023-11-29,금정회관-학생,일반
떡볶이. 만두국. 백미밥. 상추겉절이. 배추김치,lunch,2023-11-29,금정회관-학생,일반
치킨가스칠리소스. 카레밥. 햄마카로니콘샐러드. 된장국. 배추김치,lunch,2023-11-29,금정회관-학생,일품
후랑크햄볶음밥. 스파게티. 된장국. 야채샐러드. 배추김치,dinner,2023-11-29,금정회관-학생,일품
짬뽕국. 모듬잡채. 백미밥. 꿔바로우소스. 도토리묵무침. 배추김치,dinner,2023-11-29,금정회관-학생,일반
비엔나햄볶음. 백미밥. 오징어야채무침. 배추김치. 떡갈비데리야끼소스. 북어포무국,breakfast,2023-11-30,금정회관-학생,1000원의 아침
비엔나햄볶음. 백미밥. 오징어야채무침. 배추김치. 떡갈비데리야끼소스. 북어포무국,breakfast,2023-11-30,금정회관-학생,일반
닭칼국수. 옹심이만두. 깍두기. 부추겉절이,lunch,2023-11-30,금정회관-학생,일품
돈육바삭불고기. 순두부김치국. 기장밥. 계란찜. 콩나물무침. 깍두기,lunch,2023-11-30,금정회관-학생,일반
치즈돈가스. 백미밥. 야채샐러드. 배추김치,dinner,2023-11-30,금정회관-학생,일품
순살치킨머스터드. 미역줄기맛살볶음. 두부조림. 백미밥. 시락국. 배추김치,dinner,2023-11-30,금정회관-학생,일반
만두국. 돈육김치찜. 백미밥. 계란김말이. 열무겉절이. 배추김치,breakfast,2023-12-01,금정회관-학생,1000원의 아침
만두국. 돈육김치찜. 백미밥. 계란김말이. 열무겉절이. 배추김치,breakfast,2023-12-01,금정회관-학생,일반
해쉬브라운케찹. 깍두기. 부추겉절이. 돼지국밥소면,lunch,2023-12-01,금정회관-학생,일품
감자수제비국. 닭매콤조림. 잡채어묵조림. 백미밥. 오이소박이. 배추김치,lunch,2023-12-01,금정회관-학생,일반
조랭이떡국. 우동숙주볶음. 백미밥. 새우가스케찹. 상추겉절이. 배추김치,dinner,2023-12-01,금정회관-학생,일반
순살치킨돈부리덮밥. 된장국. 야채샐러드. 배추김치,dinner,2023-12-01,금정회관-학생,일품
