메뉴,식사시간,날짜,식당,타입
꽃게된장국. 제육볶음. 백미밥. 우동굴소스볶음. 상추겉절이. 배추김치,lunch,2023-11-27,학생회관,특식
날치알김치볶음밥. 계란후라이. 맑은국. 야채샐러드. 배추김치,lunch,2023-11-27,학생회관,일품
고구마돈까스. 야채샐러드. 배추김치,lunch,2023-11-28,학생회관,일품
사각어묵국. 강황밥. 연근땅콩조림. 콩나물무침. 배추김치. 닭갈비치즈떡사리. 백조기구이,lunch,2023-11-28,학생회관,특식
시래기감자탕. 백미밥. 청포묵김가루무침. 양파간장절임. 배추김치. 환어묵볶음,lunch,2023-11-29,학생회관,특식
치즈불닭덮밥. 맑은국. 야채샐러드. 배추김치,lunch,2023-11-29,학생회관,일품
도토리묵국수. 안흥찐빵흑미. 배추김치,lunch,2023-11-30,학생회관,일품
홍합짬뽕국. 유린기. 잡곡밥. 고추잡채꽃빵. 양상추토마토샐러드. 요구르트. 배추김치,lunch,2023-11-30,학생회관,특식
불고기생야채비빔밥. 치즈스틱. 맑은국. 배추김치,lunch,2023-12-01,학생회관,일품
치즈돈가스. 봉골레스파게티. 순두부계란국. 백미밥. 치커리유자청무침. 단호박샐러드. 배추김치,lunch,2023-12-01,학생회관,특식
