메뉴,식사시간,날짜,식당,타입
닭감자조림. 김치옥수수전. 백미밥. 시락국. 콩나물무침. 배추김치,breakfast,2023-12-04,금정회관-학생,1000원의 아침
닭감자조림. 김치옥수수전. 백미밥. 시락국. 콩나물무침. 배추김치,breakfast,2023-12-04,금정회관-학생,일반
돈육불고기. 백미밥. 북어콩나물국. 참치야채무침. 배추김치,lunch,2023-12-04,금정회관-학생,일반
삼겹살김치볶음밥. 고구마고로케. 된장국. 야채샐러드. 깍두기,lunch,2023-12-04,금정회관-학생,일품
스팸돈가스마요. 배추장국. 야채샐러드드레싱. 배추김치,dinner,2023-12-04,금정회관-학생,일품
순대떡볶음. 순살치킨깐풍소스. 모듬햄김치국. 백미밥. 깍두기. 상추겉절이,dinner,2023-12-04,금정회관-학생,일반
닭개장. 백미밥. 계란찜. 청경채겉절이. 배추김치. 탕수육소스,breakfast,2023-12-05,금정회관-학생,1000원의 아침
닭개장. 백미밥. 계란찜. 청경채겉절이. 배추김치. 탕수육소스,breakfast,2023-12-05,금정회관-학생,일반
견과류. 조랭이떡국. 데리야끼강정. 강황밥. 닭갈비. 두부. 배추김치. 봄동겉절이,lunch,2023-12-05,금정회관-학생,일반
고기국수. 부추겉절이. 배추김치,lunch,2023-12-05,금정회관-학생,일품
돈육김치덮밥. 고구마맛탕. 된장국. 단무지,dinner,2023-12-05,금정회관-학생,일품
백미밥. 쇠고기무국. 사각어묵조림. 언양식떡갈비소스. 열무겉절이. 배추김치,dinner,2023-12-05,금정회관-학생,일반
